x,y,ISL,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,BAD_FLAG
145.6960126,18.75639118,AGR,141881.6025,123676.1021,112762.4019,121901.0021,95175.30168,87144.90156,122139.6021,117122.702,111229.0019,106465.1019,124971.2021,141018.3025,130580.5023,123074.702,118156.9021,105380.4018,83657.10138,114766.4019,130286.1023,97538.30175,91273.4016,93447.70154,92714.50166,120363.4021,100103.7016,104874.8017,94132.80162,109594.602,107235.7018,87105.1015,93262.10148,103552.2018,93492.8016,90967.30157,0
145.699244,18.75936655,AGR,148905.0026,129764.4022,117062.102,132774.9023,101271.7018,96424.30172,128898.4023,126027.0021,120016.002,111747.702,133977.7023,153941.5027,137088.1024,132318.9022,123819.8022,110932.1019,89632.80148,126346.1021,143698.6025,101792.7018,97223.3017,97850.20161,99565.00179,126617.5023,110003.0018,111681.6018,99018.30171,119099.1021,113061.4019,91752.50157,98900.90157,115839.902,102670.9017,104338.1018,0
145.7005355,18.76344136,AGR,153251.0027,143570.6025,123459.3021,141360.2025,110888.402,112152.302,139704.2025,140298.8024,126420.4022,116295.7021,146275.4025,162427.4028,147496.3025,144622.4024,133714.0023,118483.502,104770.2018,133631.9023,154553.6027,112724.702,100864.4018,111319.4018,109094.402,132162.3024,127929.7021,122896.302,108254.1019,127005.1022,124615.7021,104980.2018,111344.5018,121593.7021,116338.902,114886.702,0
145.6996715,18.76766333,AGR,151658.6027,143049.9025,122642.8021,140442.1025,110779.002,112040.202,139642.2025,139594.0024,125847.1022,116275.1021,145503.4024,161649.7028,145634.9025,143305.9024,133578.1023,117294.602,104666.0018,132443.6022,153819.0027,112595.502,100600.7018,110975.9018,108817.502,130959.1023,127441.1021,122060.602,107839.9019,126687.7022,123439.8021,104409.3018,110647.4018,121584.4021,115995.202,114402.002,0
145.699252,18.77211692,AGR,151535.8027,142481.4024,122410.4021,140117.8025,110467.5019,111894.302,139613.3025,139210.6024,125323.8022,116264.0021,145246.9024,161520.8028,145171.9025,143065.3024,133452.2023,116491.902,104158.0017,132215.0022,153626.2027,112459.202,100397.2018,110828.2018,108574.502,129918.2023,127142.8021,121879.102,107603.5019,126657.8022,123390.7021,103860.2018,110275.0018,121210.7021,115739.602,114324.102,0
145.6993899,18.77656,AGR,150705.2027,142297.6024,121611.7021,139494.8024,110440.5019,110987.202,139574.8025,138883.6024,124793.2021,116217.0021,145113.9024,160877.3028,143313.8025,141697.0024,132966.4023,116269.602,104158.0017,131125.7022,151205.1027,112428.702,100308.6018,110104.3018,108526.302,128623.6023,126906.2021,121261.502,107372.6018,126510.9022,122526.4021,103860.2018,110001.4018,121210.7021,115658.102,114123.102,0
145.6994709,18.78094535,AGR,152514.3027,143871.6025,122987.1021,141240.6025,111066.002,112372.102,139698.5025,141806.8024,126870.2022,116327.0021,145609.5024,161839.2028,147260.2025,144042.9024,134063.1023,118359.402,104727.4018,132905.0023,154646.9027,112724.702,100780.4018,111445.9018,109023.102,131489.3024,128228.9021,122310.602,108048.5019,126905.2022,123624.2021,104992.6018,111524.8018,121858.4021,116759.802,114662.202,0
145.6980011,18.78507451,AGR,151528.9027,143702.9025,122362.3021,140513.7025,110904.802,111939.002,139660.1025,141150.8024,126375.7022,116286.2021,145532.7024,161412.6028,145762.6025,143084.8024,133538.8023,118146.002,104727.4018,132315.9023,153402.6027,112710.202,100663.9018,110678.3018,108980.702,130254.9023,127959.8021,121843.002,107757.9019,126731.6022,123043.0021,104980.2018,111356.7018,121756.3021,116276.702,114430.102,0
145.6974199,18.78936374,AGR,151574.4027,143024.6025,122527.3021,140313.3025,110734.502,111995.902,139642.2025,139503.8024,125714.3022,116275.1021,145476.2024,161470.8028,145513.8025,143119.9024,133539.3023,117159.102,104540.9017,132117.9022,153720.7027,112595.502,100542.4018,110916.7018,108811.002,130712.9023,127350.3021,121985.602,107811.1019,126660.2022,123324.6021,104360.9018,110590.8018,121584.4021,115956.202,114394.502,0
145.6951235,18.79292611,AGR,145601.0026,142260.1024,115349.402,140763.2025,109893.4019,109629.702,138304.2024,140300.8024,129679.3022,115971.9021,143849.5024,149583.1026,136519.1023,134376.2023,131377.9023,119071.502,104250.3017,127743.4022,139988.7025,112448.102,100005.0017,109608.4018,107846.2019,115393.302,125877.6021,119901.402,107301.8019,123419.6022,120899.902,104073.8018,109426.0018,121711.0021,116550.202,114343.202,0
145.692414,18.79621392,AGR,148245.6026,143578.1025,119786.602,141462.5025,110467.2019,110894.502,139714.4025,141586.0024,131815.0023,116241.6021,144723.2024,157723.0028,141582.2024,138250.3023,132631.6023,119945.102,104714.4018,131734.5023,147605.2026,112658.902,101066.2018,110411.4018,108842.502,123100.9021,126894.6021,120851.502,108229.1019,125124.3022,121642.2021,104970.4018,110465.7018,121846.7021,116817.202,115017.202,0
145.6882949,18.79747634,AGR,143374.5025,140796.8024,114206.302,140098.3025,108402.9019,108800.402,137625.1024,138942.5023,127499.3022,114310.502,143104.3024,146932.2026,132286.1022,131448.6022,129885.0022,117996.902,103259.7017,126347.8021,137006.2024,112065.402,98973.40172,108751.1018,106806.3019,112093.402,125649.5021,119238.302,106623.0018,122059.8021,120463.102,103250.7018,108578.8017,120550.4021,116240.702,113800.202,0
145.6852182,18.80079134,AGR,146911.3026,143039.1025,118030.002,140970.9025,110037.4019,110169.402,139168.5025,140795.0024,129046.2022,116170.6021,144049.8024,152209.6027,139050.1024,135813.9023,132051.7023,118910.702,104690.4018,129505.9022,144852.0025,112653.602,100714.4018,109944.7018,108636.202,119230.8021,126349.7021,120500.302,107870.8019,124443.3022,121288.002,104692.6018,109937.9018,121787.5021,116632.402,114593.102,0
145.6830956,18.80466764,AGR,148143.8026,143472.0025,119880.902,141564.3025,110380.0019,110983.602,139668.3025,141516.3024,133225.2023,116241.6021,145022.9024,156814.0028,141201.0024,138439.0023,132527.7023,120229.302,104701.6018,131482.4023,146975.5026,112658.902,101180.4018,110651.3018,108805.402,122415.1022,126828.5021,120833.902,108226.1019,125041.1022,121576.4021,104940.5018,110444.4018,121840.8021,116870.202,115157.602,0
145.6809879,18.80855572,AGR,149105.7026,143698.7025,121631.4021,143065.2025,111094.202,112401.702,139843.5025,144927.2024,135715.6023,116404.5021,148281.1025,158131.5028,143282.4024,140734.8024,132734.0023,122283.202,104721.7018,133455.9023,149588.1026,112658.902,101361.8018,111178.9018,108936.202,123836.0022,127101.3021,122922.6021,108407.1019,125272.4022,121996.8021,105085.3018,110783.5018,121852.6021,118768.702,117048.202,0
