"ISLAND","SITE","LATITUDE","LONGITUDE","WavePower"
"Saipan","SAI-00695",15.16000067,145.7672299,2032.050035
"Saipan","SAI-00817",15.20341264,145.6951551,5295.5500965
"Saipan","SAI-00850",15.22938238,145.6940314,28259.050495
"Saipan","SAI-00793",15.18890172,145.7027436,5193.02509475
"Saipan","SAI-00750",15.18036995,145.6954307,5607.7000945
"Saipan","SAI-00800",15.24050055,145.6998113,31387.100555
"Saipan","SAI-00724",15.19840571,145.703115,5175.5500945
"Saipan","SAI-00732",15.16993398,145.6932758,6024.8501025
"Saipan","SAI-00739",15.25582502,145.7486577,37135.05066
"Saipan","SAI-00722",15.25457745,145.7558463,31911.00055
"Saipan","SAI-00999",15.25914894,145.8147316,23512.350405
"Saipan","SAI-00845",15.27439512,145.7924282,26692.250445
"Saipan","SAI-00847",15.2749236,145.829039,125979.57725
"Saipan","SAI-00733",15.19668365,145.7806777,107743.15195
"Sarigan","SAR-00243",16.70018552,145.7889932,105789.8018
"Sarigan","SAR-00212",16.71584224,145.7836267,120510.75215
"Sarigan","SAR-00210",16.69240762,145.7768211,24450.300425
"Pagan","PAG-00617",18.10219151,145.789435,10944.00018
"Pagan","PAG-00555",18.10662352,145.7796519,9674.82516025
"Pagan","PAG-00525",18.05205331,145.733113,98848.501685
"Pagan","PAG-00548",18.07964922,145.7530772,76282.40129
"Pagan","PAG-00575",18.05714121,145.7070448,41158.700745
"Pagan","PAG-00557",18.05942385,145.7104697,32721.8755925
"Pagan","PAG-00577",18.11054617,145.7528987,17018.900275
"Pagan","PAG-00532",18.12286564,145.7583774,11089.450175
"Pagan","PAG-00573",18.14487602,145.8119628,137231.85235
"Pagan","PAG-00547",18.13126691,145.8101656,133884.72725
"Pagan","PAG-00562",18.10589371,145.7967282,91105.05156
"Pagan","PAG-00553",18.10164803,145.7943062,56405.250965
"Pagan","PAG-00507",18.15788423,145.8093332,143819.77745
"Pagan","PAG-00506",18.15446458,145.8074114,133603.05225
"Pagan","PAG-00510",18.13785709,145.8095592,133297.00225
"Pagan","PAG-00588",18.11643337,145.8038042,116805.80195
"Pagan","PAG-00609",18.14753484,145.753395,26663.800445
"Pagan","PAG-00556",18.16903375,145.7868751,133162.95235
"Asuncion","ASC-00308",19.70798629,145.4021466,139965.4524
"Asuncion","ASC-00312",19.69081806,145.4190759,138921.5024
"Asuncion","ASC-00317",19.67973073,145.4137025,126439.65215
"Asuncion","ASC-00309",19.67508087,145.4058631,101191.90175
"Asuncion","ASC-00339",19.67406079,145.401141,75564.951335
"Asuncion","ASC-00324",19.6835315,145.3880087,28655.125495
"Asuncion","ASC-00307",19.67648928,145.3972332,32242.850595
"Asuncion","ASC-00303",19.68027539,145.3939749,19636.800325
"Asuncion","ASC-00318",19.70141505,145.392812,61312.9760375
"Asuncion","ASC-00305",19.68972648,145.3895483,26755.35046
"Asuncion","ASC-00316",19.68937361,145.3889001,27281.650465
"Farallon de Pajaros","FDP-00239",20.54211608,144.8856573,48082.8009
"Farallon de Pajaros","FDP-00221",20.54950506,144.885815,87713.5765325
"Farallon de Pajaros","FDP-00230",20.54501178,144.9038744,152194.75265
"Farallon de Pajaros","FDP-00247",20.54068043,144.9029646,130426.80225
"Farallon de Pajaros","FDP-00208",20.53554819,144.8947692,109615.951925
"Farallon de Pajaros","FDP-00212",20.53679139,144.8886832,49902.0508075
"Asuncion","ASC-00337",19.68447195,145.3872368,33560.750615
"Farallon de Pajaros","FDP-00227",20.55177966,144.896399,142014.9524
"Maug","MAU-00603",20.02902534,145.2123045,1975.0000375
"Maug","MAU-00551",20.02304711,145.2101305,2617.600038
"Maug","MAU-00539",20.02320075,145.2297858,4510.450084
"Maug","MAU-00541",20.02986143,145.2102009,81611.201415
"Maug","MAU-00613",20.0091086,145.2198723,53152.1009
"Maug","MAU-00607",20.01732781,145.2393667,137203.50235
"Maug","MAU-00593",20.01076235,145.2293964,97458.201685
"Maug","MAU-00550",20.01352837,145.208375,29442.550545
"Maug","MAU-00604",20.03323372,145.2315601,131047.05225
"Maug","MAU-00575",20.03433963,145.2278037,129479.2022
"Maug","MAU-00571",20.03422472,145.2172435,88181.351505
"Maug","MAU-00588",20.03283,145.21475,81167.201385
"Maug","MAU-00612",20.03480977,145.2144497,103974.5768175
"Maug","MAU-00564",20.03637208,145.2201645,138689.3024
"Maug","MAU-00554",20.03227442,145.2307175,131047.05225
"Maug","MAU-00533",20.03014499,145.234625,132680.45225
"Maug","MAU-00596",20.02493732,145.2374739,128499.30225
"Maug","MAU-00557",20.02611171,145.2366908,127520.60225
"Maug","MAU-00585",20.01983877,145.2394524,134715.9023
"Maug","MAU-00594",20.01337934,145.2337041,100914.1518
"Maug","MAU-00584",20.01595217,145.2369794,119740.902
