"","SITE","OBS_YEAR","PeakDHW","PeakDate"
"223","ALA-00276",2018,0,"2018-01-01"
"224","ALA-00276",2019,3.54999995231628,"2019-08-03"
"225","ALA-00298",2013,8.56999969482422,"2013-09-16"
"226","ALA-00298",2014,9.64000034332275,"2014-08-28"
"227","ALA-00298",2015,0.140000000596046,"2015-07-29"
"228","ALA-00298",2016,4.59999990463257,"2016-08-11"
"229","ALA-00298",2017,9.85999965667725,"2017-08-28"
"230","ALA-00298",2018,0,"2018-01-01"
"231","ALA-00298",2019,3.55999994277954,"2019-08-03"
"232","ALA-00283",2013,8.56999969482422,"2013-09-16"
"233","ALA-00283",2014,9.64000034332275,"2014-08-28"
"234","ALA-00283",2015,0.140000000596046,"2015-07-29"
"235","ALA-00283",2016,4.59999990463257,"2016-08-11"
"236","ALA-00283",2017,9.85999965667725,"2017-08-28"
"237","ALA-00283",2018,0,"2018-01-01"
"238","ALA-00283",2019,3.55999994277954,"2019-08-03"
"239","ASC-00308",2013,4.23999977111816,"2013-09-09"
"240","ASC-00308",2014,9.65999984741211,"2014-09-08"
"241","ASC-00308",2015,0,"2015-01-01"
"242","ASC-00308",2016,5.15000009536743,"2016-08-11"
"243","ASC-00308",2017,7.01999998092651,"2017-08-21"
"244","ASC-00308",2018,0,"2018-01-01"
"245","ASC-00308",2019,2.15000009536743,"2019-08-03"
"246","ASC-00312",2013,4.26999998092651,"2013-09-09"
"247","ASC-00312",2014,9.81999969482422,"2014-09-09"
"248","ASC-00312",2015,0,"2015-01-01"
"249","ASC-00312",2016,5.03000020980835,"2016-08-11"
"250","ASC-00312",2017,6.84000015258789,"2017-08-21"
"251","ASC-00312",2018,0,"2018-01-01"
"252","ASC-00312",2019,2.29999995231628,"2019-08-03"
"253","ASC-00317",2013,4.26999998092651,"2013-09-09"
"254","ASC-00317",2014,9.81999969482422,"2014-09-09"
"255","ASC-00317",2015,0,"2015-01-01"
"256","ASC-00317",2016,5.03000020980835,"2016-08-11"
"257","ASC-00317",2017,6.84000015258789,"2017-08-21"
"258","ASC-00317",2018,0,"2018-01-01"
"259","ASC-00317",2019,2.29999995231628,"2019-08-03"
"260","ASC-00309",2013,4.26999998092651,"2013-09-09"
"261","ASC-00309",2014,9.81999969482422,"2014-09-09"
"262","ASC-00309",2015,0,"2015-01-01"
"263","ASC-00309",2016,5.03000020980835,"2016-08-11"
"264","ASC-00309",2017,6.84000015258789,"2017-08-21"
"265","ASC-00309",2018,0,"2018-01-01"
"266","ASC-00309",2019,2.29999995231628,"2019-08-03"
"267","ASC-00337",2013,4.26000022888184,"2013-09-09"
"268","ASC-00337",2014,9.76000022888184,"2014-09-08"
"269","ASC-00337",2015,0,"2015-01-01"
"270","ASC-00337",2016,5.17000007629395,"2016-08-11"
"271","ASC-00337",2017,6.6399998664856,"2017-08-21"
"272","ASC-00337",2018,0,"2018-01-01"
"273","ASC-00337",2019,2.25999999046326,"2019-08-03"
"274","ASC-00324",2013,4.26000022888184,"2013-09-09"
"275","ASC-00324",2014,9.76000022888184,"2014-09-08"
"276","ASC-00324",2015,0,"2015-01-01"
"277","ASC-00324",2016,5.17000007629395,"2016-08-11"
"278","ASC-00324",2017,6.6399998664856,"2017-08-21"
"279","ASC-00324",2018,0,"2018-01-01"
"280","ASC-00324",2019,2.25999999046326,"2019-08-03"
"281","ASC-00305",2013,4.26000022888184,"2013-09-09"
"282","ASC-00305",2014,9.76000022888184,"2014-09-08"
"283","ASC-00305",2015,0,"2015-01-01"
"284","ASC-00305",2016,5.17000007629395,"2016-08-11"
"285","ASC-00305",2017,6.6399998664856,"2017-08-21"
"286","ASC-00305",2018,0,"2018-01-01"
"287","ASC-00305",2019,2.25999999046326,"2019-08-03"
"288","ASC-00318",2013,4.36999988555908,"2013-09-09"
"289","ASC-00318",2014,9.60999965667725,"2014-09-04"
"290","ASC-00318",2015,0,"2015-01-01"
"291","ASC-00318",2016,5.30000019073486,"2016-08-11"
"292","ASC-00318",2017,6.94999980926514,"2017-08-21"
"293","ASC-00318",2018,0,"2018-01-01"
